Job Title,Job Link,Agency,Location,Pay,Section,Posted Date,latitude,longitude,MinAnnualSalary,MaxAnnualSalary
AQUATIC BIOLOGIST IV - STATEWIDE,https://www.governmentjobs.com/jobs/4851780-0/aquatic-biologist-iv-statewide,Various - See Position Description,Statewide,N/A,GIS,,19.857670,-155.64245,,
Fish and Wildlife Technician 3 (PCN 114297),https://www.governmentjobs.com/jobs/4862833-0/fish-and-wildlife-technician-3-pcn-114297,State of Alaska,"Homer, AK",Seasonal - $21.50 Hourly,Fish & Wildlife,,59.645406,-151.54456,,44720
Pest Biologist 1,https://www.governmentjobs.com/jobs/4863674-0/pest-biologist-1,State of Washington,"Thurston County – Tumwater, WA","Full Time - Permanent - $45,732.00 - $61,404.00 Annually",Natural Resources,,46.952756,-122.93862,45732,61404
"State Lands Lead Forester, Natural Resource Specialist 2 (NRS2)/NRS1 In-Training",https://www.governmentjobs.com/jobs/4866810-0/state-lands-lead-forester-natural-resource-specialist-2-nrs2-nrs1-in-training,State of Washington,"Clallam County – Forks, WA","Full Time - Permanent - $45,732.00 - $69,396.00 Annually",Forestry,,47.964043,-124.43371,45732,69396
Natural Resources Technician 1 (NRT1),https://www.governmentjobs.com/jobs/4866615-0/natural-resources-technician-1-nrt1,State of Iowa,"Harpers Ferry - 52146 - Allamakee County, IA","Full-time - $40,289.60 - $58,988.80 Annually",Natural Resources,,43.200604,-91.15254,40289.6,58988.8
Environmental Inspector in Training - Environmental Protection - See Posting,https://www.governmentjobs.com/jobs/4866516-0/environmental-inspector-in-training-environmental-protection-see-posting,West Virginia,"- See Posting., WV","Full-Time Permanent - $39,461.00 - $68,582.00 Annually",Environmental,,38.475841,-80.84084,39461,68582
Park & Recreation Ranger 6-E8 (Clear Lake State Park),https://www.governmentjobs.com/jobs/4865753-0/park-recreation-ranger-6-e8-clear-lake-state-park,State of Michigan,"Atlanta, MI",Permanent Intermittent (hours may vary) - $20.77 - $29.20 Hourly,Parks & Recreation,,33.748992,-84.39026,43201.6,60736
"Forest Maintenance Worker (Seasonal) - Tioga Forest District, Tioga County",https://www.governmentjobs.com/jobs/4861057-0/forest-maintenance-worker-seasonal-tioga-forest-district-tioga-county,Commonwealth of Pennsylvania,"Tioga County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,,41.774169,-77.25426,,37544
Forest Technician,https://www.governmentjobs.com/jobs/4824334-0/forest-technician,Commonwealth of Pennsylvania,"*Home Headquartered, PA",Civil Service Limited Term Full-Time - $22.95 Hourly,Forestry,,40.900866,-77.76233,,47736
Environmental Program Consultant,https://www.governmentjobs.com/jobs/4866428-0/environmental-program-consultant,State of North Carolina,"Wake County, NC","Permanent Full-Time - $61,545.00 - $107,703.00 Annually",Environmental,,35.797936,-78.61183,61545,107703
Water Quality Permit Compliance Analyst (Program Analyst 1),https://www.governmentjobs.com/jobs/120029-1/water-quality-permit-compliance-analyst-program-analyst-1,Oregon Department of Environmental Quality,"Portland, OR","Full-Time - $4,409.00 - $6,732.00 Monthly",Water,,45.520247,-122.67419,4409,6732
Fishery Biologist 3 (PCN 11N25068),https://www.governmentjobs.com/jobs/4866436-0/fishery-biologist-3-pcn-11n25068,State of Alaska,"Soldotna, AK","Long Term Nonperm - $2,804.80 Biweekly",Fish & Wildlife,,60.484723,-151.06535,,2804.8
Fishery Biologist 3 (Bristol Bay Inlet Research Biologist - PCN 111075),https://www.governmentjobs.com/jobs/4866357-0/fishery-biologist-3-bristol-bay-inlet-research-biologist-pcn-111075,State of Alaska,"Anchorage, AK","Full Time - $2,804.80 Biweekly",Fish & Wildlife,,61.216313,-149.89485,,2804.8
Fish Hatchery Specialist 2 - Dungeness Hatchery - Non-Permanent - 2 Openings - *01480-25,https://www.governmentjobs.com/jobs/4845049-0/fish-hatchery-specialist-2-dungeness-hatchery-non-permanent-2-openings-0,State of Washington,"Clallam County – Sequim, WA","Full Time - Non-Permanent - $3,558.00 - $4,740.00 Monthly",Fish & Wildlife,,48.082209,-123.11362,3558,4740
Natural Resources Program Principal 2025-00637,https://www.governmentjobs.com/jobs/4864181-0/natural-resources-program-principal-2025-00637,State of Wyoming,"Sheridan, WY","Permanent Full-time - $6,171.35 - $6,857.05 Monthly",Natural Resources,,44.794754,-106.82227,6171.35,6857.05
Air Quality Assurance Program Principal 2025-00636,https://www.governmentjobs.com/jobs/4864127-0/air-quality-assurance-program-principal-2025-00636,State of Wyoming,"Cheyenne, WY","Permanent Full-time - $6,171.35 - $6,857.05 Monthly",Environmental,,41.139981,-104.82025,6171.35,6857.05
Natural Resources Program Principal 2025-00639,https://www.governmentjobs.com/jobs/4864206-0/natural-resources-program-principal-2025-00639,State of Wyoming,"Cheyenne, WY","Permanent Full-time - $6,171.35 - $6,857.05 Monthly",Natural Resources,,41.139981,-104.82025,6171.35,6857.05
Landscape Technician,https://www.governmentjobs.com/jobs/4857804-0/landscape-technician,City of Rochester,"Rochester MN 55904, MN",Regular FT - $28.46 - $36.93 Hourly,Natural Resources,,44.023439,-92.46302,59196.8,76814.4
"Forest Maintenance Worker (Semi Skilled Laborer) (Seasonal) - Forbes Forest District, Fayette County",https://www.governmentjobs.com/jobs/4856457-0/forest-maintenance-worker-semi-skilled-laborer-seasonal-forbes-forest-distr,Commonwealth of Pennsylvania,"Fayette County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,,39.921022,-79.66638,,37544
Assistant District Forester (Natural Resource Program Specialist 2)- William Penn Forest District,https://www.governmentjobs.com/jobs/4858570-0/assistant-district-forester-natural-resource-program-specialist-2-william-penn,Commonwealth of Pennsylvania,"Berks County, PA","Civil Service Permanent Full-Time - $66,250.00 - $100,636.00 Annually",Forestry,,40.411376,-75.94333,66250,100636
Assistant County Ranger,https://www.governmentjobs.com/jobs/4864043-0/assistant-county-ranger,State of North Carolina,"Gates County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,,36.441251,-76.69441,35984,62971
"Forest Maintenance Worker (Seasonal) - Rothrock Forest District, Huntingdon County",https://www.governmentjobs.com/jobs/4861634-0/forest-maintenance-worker-seasonal-rothrock-forest-district-huntingdon-count,Commonwealth of Pennsylvania,"Huntingdon County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,,40.344633,-78.02812,,37544
